name,stars,forks,language,created_at,age_days,last_api_update,open_issues,closed_issues,total_issues,issue_resolution_rate,monthly_commits_last30d,total_commits_fetched_period,open_pr,closed_pr,merged_pr,total_pr,avg_merge_time_days
JuliaAI/MLJ.jl,1847,158,Julia,2018-08-01,2466,2025-04-30 06:53,87,1070,1157,0.925,14,140,0,69,450,519,2.96
JuliaAI/DecisionTree.jl,358,101,Julia,2013-01-14,4491,2025-05-01 00:14,46,187,233,0.803,0,3,5,15,104,124,5.88
JuliaAI/MLJBase.jl,161,44,Julia,2018-12-11,2334,2025-04-28 20:14,38,955,993,0.962,0,58,0,111,569,680,3.24
JuliaAI/DataScienceTutorials.jl,120,20,ReScript,2019-10-15,2026,2025-04-01 21:38,26,199,225,0.884,0,44,2,30,87,119,7.65
JuliaAI/ScientificTypes.jl,98,8,Julia,2019-08-01,2101,2025-02-11 23:05,10,183,193,0.948,0,9,0,10,107,117,2.95
JuliaAI/MLJLinearModels.jl,81,13,Julia,2019-08-27,2075,2025-03-14 20:58,45,114,159,0.717,0,0,2,6,59,67,4.77
JuliaAI/MLJModels.jl,81,29,Julia,2019-01-31,2283,2025-03-19 03:52,32,551,583,0.945,0,53,0,46,342,388,1.6
JuliaAI/MLJTuning.jl,66,12,Julia,2020-01-14,1935,2024-11-05 00:24,11,211,222,0.95,0,19,0,10,154,164,4.46
JuliaAI/MLFlowClient.jl,49,13,Julia,2021-11-14,1265,2025-02-22 03:17,6,53,59,0.898,0,55,3,1,25,29,28.41
JuliaAI/LearnAPI.jl,44,2,Julia,2022-07-27,1010,2025-04-16 07:15,1,51,52,0.981,2,219,0,2,37,39,7.57
JuliaAI/MLJModelInterface.jl,37,8,Julia,2020-01-14,1935,2025-04-17 22:41,17,199,216,0.921,5,25,1,14,144,159,2.69
JuliaAI/Imbalance.jl,28,1,Julia,2023-07-16,656,2024-09-28 23:21,2,101,103,0.981,0,2,0,4,29,33,1.19
JuliaAI/EarlyStopping.jl,26,3,Julia,2021-02-16,1536,2024-12-28 01:59,2,34,36,0.944,0,5,0,1,27,28,12.93
JuliaAI/NearestNeighborModels.jl,26,0,Julia,2020-06-14,1783,2025-02-26 04:29,3,57,60,0.95,0,0,1,18,29,48,2.83
JuliaAI/IterationControl.jl,23,1,Julia,2021-03-02,1522,2024-06-30 06:58,5,58,63,0.921,0,0,0,0,53,53,0.55
JuliaAI/MLJScientificTypes.jl,17,6,Julia,2020-01-14,1935,2023-06-25 21:20,1,80,81,0.988,0,0,0,10,56,66,1.22
JuliaAI/StatisticalMeasures.jl,17,3,Julia,2023-05-17,716,2025-04-24 16:27,7,33,40,0.825,0,19,0,4,24,28,2.17
JuliaAI/CategoricalDistributions.jl,14,7,Julia,2021-09-22,1318,2024-11-30 23:16,9,65,74,0.878,0,0,0,1,41,42,3.42
JuliaAI/TreeRecipe.jl,13,0,Julia,2022-11-15,899,2024-06-30 11:30,0,9,9,1.0,0,0,0,0,4,4,25.81
JuliaAI/CatBoost.jl,12,3,Julia,2021-05-04,1459,2025-02-16 06:29,5,37,42,0.881,0,3,2,2,23,27,18.18
JuliaAI/MLJScikitLearnInterface.jl,12,6,Julia,2020-06-05,1792,2024-05-22 20:43,5,64,69,0.928,0,5,0,2,43,45,2.35
JuliaAI/MLJXGBoostInterface.jl,12,6,Julia,2020-06-14,1783,2024-12-05 15:14,5,50,55,0.909,0,14,0,8,27,35,10.01
JuliaAI/MLJFlow.jl,11,0,Julia,2023-08-05,636,2025-02-22 03:17,3,41,44,0.932,0,25,0,1,13,14,4.83
JuliaAI/MLJIteration.jl,11,2,Julia,2021-03-15,1509,2024-10-28 00:47,2,66,68,0.971,0,17,0,1,51,52,1.7
JuliaAI/MLJText.jl,11,1,Julia,2021-07-21,1381,2024-06-12 20:39,3,31,34,0.912,0,4,1,6,20,27,5.67
JuliaAI/MLJGLMInterface.jl,10,4,Julia,2020-06-11,1786,2025-01-30 05:08,2,45,47,0.957,0,0,0,4,26,30,7.22
JuliaAI/MLJOpenML.jl,10,2,Julia,2021-03-20,1504,2023-08-10 19:18,4,16,20,0.8,0,0,0,1,9,10,6.3
JuliaAI/OpenML.jl,10,5,Julia,2021-08-09,1362,2024-11-02 08:57,0,29,29,1.0,0,9,0,3,17,20,8.79
JuliaAI/MLJDecisionTreeInterface.jl,9,4,Julia,2020-06-11,1786,2024-02-25 06:33,3,54,57,0.947,0,0,0,2,37,39,2.69
JuliaAI/ScientificTypesBase.jl,9,4,Julia,2021-06-14,1418,2023-07-11 08:25,4,25,29,0.862,0,0,0,0,16,16,0.53
JuliaAI/StatisticalMeasuresBase.jl,9,1,Julia,2023-05-17,716,2025-04-24 16:28,0,12,12,1.0,0,3,0,1,9,10,0.02
JuliaAI/MLJParticleSwarmOptimization.jl,8,1,Julia,2021-05-24,1439,2025-01-12 10:38,1,27,28,0.964,0,0,0,9,11,20,3.79
JuliaAI/MLJMultivariateStatsInterface.jl,7,7,Julia,2020-06-11,1786,2024-07-30 15:34,0,59,59,1.0,0,0,0,8,37,45,4.81
JuliaAI/MLJEnsembles.jl,6,1,Julia,2021-04-01,1492,2024-06-03 08:28,3,38,41,0.927,0,11,0,4,29,33,3.66
JuliaAI/MLJBalancing.jl,5,0,Julia,2023-09-19,591,2024-06-03 11:19,0,28,28,1.0,0,6,0,7,15,22,0.98
JuliaAI/MLJClusteringInterface.jl,5,4,Julia,2020-06-11,1786,2024-12-17 22:01,0,28,28,1.0,0,22,0,3,15,18,44.18
JuliaAI/MLJTestIntegration.jl,4,2,Julia,2022-02-28,1159,2024-06-05 08:01,2,43,45,0.956,0,7,0,4,36,40,0.71
JuliaAI/MLJ,3,0,Svelte,2024-04-18,379,2025-04-29 00:55,3,27,30,0.9,20,257,0,0,15,15,14.55
JuliaAI/MLJLIBSVMInterface.jl,3,2,Julia,2020-06-11,1786,2023-07-18 19:06,1,16,17,0.941,0,0,1,2,10,13,13.6
JuliaAI/StatisticalTraits.jl,3,2,Julia,2021-01-22,1561,2024-06-27 04:53,1,29,30,0.967,0,11,1,0,24,25,0.65
JuliaAI/.github,1,0,,2021-11-18,1261,2025-04-08 02:07,0,0,0,,2,4,0,0,0,0,
JuliaAI/FeatureSelection.jl,1,0,Julia,2023-12-06,513,2024-08-04 19:51,0,26,26,1.0,0,35,0,1,16,17,11.91
JuliaAI/LearnDataFrontEnds.jl,1,0,Julia,2025-02-14,77,2025-02-22 06:38,2,8,10,0.8,0,20,0,0,6,6,0.04
JuliaAI/HelloJulia.jl,0,0,,2022-07-15,1022,2022-05-26 22:03,0,0,0,,0,0,0,0,0,0,
JuliaAI/LearnTestAPI.jl,0,0,Julia,2025-02-06,85,2025-03-06 23:13,1,17,18,0.944,0,75,0,1,14,15,0.09
JuliaAI/MLJExampleInterface.jl,0,0,Julia,2021-07-20,1382,2021-08-17 03:44,0,3,3,1.0,0,0,0,1,2,3,9.52
JuliaAI/MLJGaussianProcessesInterface.jl,0,0,,2020-06-11,1786,2023-01-28 08:07,0,0,0,,0,0,0,0,1,1,1.06
JuliaAI/MLJNaiveBayesInterface.jl,0,2,Julia,2020-06-12,1785,2022-01-21 03:18,0,9,9,1.0,0,0,0,0,8,8,16.59
JuliaAI/MLJSerialization.jl,0,0,Julia,2021-03-20,1504,2023-01-28 01:48,0,18,18,1.0,0,0,0,3,10,13,0.63
JuliaAI/MLJTSVDInterface.jl,0,1,Julia,2021-07-21,1381,2021-12-27 21:56,0,19,19,1.0,0,0,0,1,15,16,3.36
JuliaAI/MLJTestInterface.jl,0,2,Julia,2022-11-08,906,2024-12-26 22:58,1,25,26,0.962,0,5,0,0,20,20,0.4
JuliaAI/MLJTime,0,1,,2020-03-18,1871,2021-06-23 20:25,0,0,0,,0,0,0,0,0,0,
